episode_id,created_at,updated_at,tv_show_name,user_id,tv_show_id
6601756,2018-07-10 20:48:41,2018-07-10 20:48:41,Champions,5449324,328535
6148891,2017-10-05 18:16:01,2017-10-05 18:16:01,The Gifted,5449324,328552
8398130,2022-08-03 11:29:47,2022-08-03 11:29:47,Good Girls,5449324,328577
6882238,2019-01-05 00:11:01,2019-01-05 00:11:01,The Good Doctor,5449324,328634
6093252,2017-11-24 21:23:53,2017-11-24 21:23:53,Saving The Human Race,5449324,328661
7088165,2019-06-15 23:52:28,2019-06-15 23:52:28,Dynasty (2017),5449324,328749
6097676,2017-05-22 19:12:49,2017-05-22 19:12:49,,5449324,328844
6103346,2017-11-01 00:15:55,2017-11-01 00:15:55,Friends from College,5449324,328972
6103944,2017-06-05 22:33:58,2017-06-05 22:33:58,Pineapple,5449324,329058
6172292,2017-09-23 21:35:23,2017-09-23 21:35:23,Ozark,5449324,329089
6189368,2017-08-21 21:17:29,2017-08-21 21:17:29,You Got Trumped: The First 100 Days,5449324,329178
6111360,2017-09-04 07:03:15,2017-09-04 07:03:15,Skinford,5449324,329312
6117111,2017-07-18 14:27:23,2017-07-18 14:27:23,Duels,5449324,329536
6353314,2018-02-17 20:58:02,2018-02-17 20:58:02,Alias Grace,5449324,329586
6120078,2017-10-13 23:42:35,2017-10-13 23:42:35,,5449324,329655
6120630,2017-08-22 02:38:21,2017-08-22 02:38:21,Exposed,5449324,329674
6122116,2019-07-15 04:05:32,2019-07-15 04:05:32,Planet of the Apps,5449324,329718
6125667,2017-06-18 03:44:56,2017-06-18 03:44:56,Virgin,5449324,329841
6139876,2022-07-23 13:50:46,2022-07-23 13:50:46,,5449324,330082
6138699,2017-08-22 03:29:21,2017-08-22 03:29:21,Icarus,5449324,330229
7382468,2022-06-22 23:19:41,2022-06-22 23:19:41,Atypical,5449324,330374
6174771,2017-11-19 22:13:23,2017-11-19 22:13:23,Presque adultes,5449324,330433
6380195,2020-05-17 01:05:00,2020-05-17 01:05:00,Calls,5449324,330525
6162983,2017-08-22 06:15:56,2017-08-22 06:15:56,Surrogate,5449324,330895
9318998,2022-12-25 20:21:39,2022-12-25 20:21:39,Big Mouth,5449324,331431
6751414,2018-07-19 21:16:26,2018-07-19 21:16:26,Epic Time Leap,5449324,331604
6201846,2017-07-26 06:44:00,2017-07-26 06:44:00,Skal,5449324,331920
6201876,2017-08-22 03:37:52,2017-08-22 03:37:52,Twiz & Tuck's Bucket List,5449324,331922
6332720,2017-10-16 00:46:42,2017-10-16 00:46:42,Superhigh,5449324,331988
6248747,2017-08-16 23:56:18,2017-08-16 23:56:18,,5449324,332272
6235287,2017-08-21 21:55:52,2017-08-21 21:55:52,Everyone I Love Is Dead,5449324,332763
6518554,2018-10-14 08:56:37,2018-10-14 08:56:37,American Vandal,5449324,332828
7021769,2020-05-10 03:28:26,2020-05-10 03:28:26,SMILF,5449324,332898
7110602,2019-07-15 03:10:23,2019-07-15 03:10:23,Carpool Karaoke: The Series,5449324,332954
6243235,2017-08-10 11:59:17,2017-08-10 11:59:17,The Bar Mitzvah,5449324,332963
6276544,2017-08-28 08:53:20,2017-08-28 08:53:20,Sons of God,5449324,333838
6283823,2018-05-01 22:01:44,2018-05-01 22:01:44,Superstition,5449324,334003
6868841,2019-02-24 19:27:11,2019-02-24 19:27:11,Lore,5449324,334147
7085515,2019-08-11 01:39:07,2019-08-11 01:39:07,Samantha!,5449324,334543
6860880,2018-12-24 16:29:36,2018-12-24 16:29:36,Neo Yokio,5449324,334670
6347559,2018-03-11 23:44:41,2018-03-11 23:44:41,Dark,5449324,334824
6341865,2017-10-04 19:55:45,2017-10-04 19:55:45,Mooom,5449324,335024
6786330,2021-02-08 13:02:48,2021-02-08 13:02:48,Siren (2018),5449324,335982
7395734,2019-11-10 23:16:17,2019-11-10 23:16:17,The End of the F***ing World,5449324,336522
6464862,2018-02-17 14:37:59,2018-02-17 14:37:59,Re:Mind,5449324,336622
10920390,2023-07-21 04:57:29,2025-05-04 23:59:21,You,5449324,336924
6428380,2020-07-04 21:53:23,2020-07-04 21:53:23,Paris etc.,5449324,337171
6547530,2018-10-12 17:10:35,2018-10-12 17:10:35,Creeped Out,5449324,337218
6397006,2018-07-23 11:01:07,2018-07-23 11:01:07,Raising Hitler,5449324,337395
7162356,2019-07-15 00:26:58,2019-07-15 00:26:58,9-1-1,5449324,337907
6982577,2019-01-09 11:37:10,2019-01-09 11:37:10,gaelle garcia diaz,5449324,338301
7489570,2020-04-06 17:39:36,2020-04-06 17:39:36,Chilling Adventures of Sabrina,5449324,338947
7106048,2019-08-11 01:26:44,2019-08-11 01:26:44,On My Block,5449324,339273
7201382,2019-07-21 02:38:10,2019-07-21 02:38:10,Sweetbitter,5449324,339512
6467028,2018-04-18 23:24:15,2018-04-18 23:24:15,Polyvalente,5449324,339774
8090576,2022-06-20 17:03:04,2022-06-20 17:03:04,Disenchantment,5449324,340234
6667632,2018-06-22 11:20:44,2018-06-22 11:20:44,Nude,5449324,340793
6499487,2019-01-02 00:59:41,2019-01-02 00:59:41,I Love You 2,5449324,340944
8998256,2022-07-11 14:39:45,2022-07-11 14:39:45,Killing Eve,5449324,340959
7080635,2019-04-15 21:08:26,2019-04-15 21:08:26,Fifty Shades of Greeks,5449324,340973
6765502,2018-10-30 00:22:46,2018-10-30 00:22:46,Heathers,5449324,341235
6529614,2018-02-16 21:37:18,2018-02-16 21:37:18,Everything Sucks!,5449324,341282
6517939,2018-07-31 14:59:34,2018-07-31 14:59:34,Welcome to the Family (2018),5449324,341423
7178663,2019-05-17 21:40:41,2019-05-17 21:40:41,The Rain,5449324,341704
9779159,2023-07-08 10:40:37,2023-07-08 10:40:37,Skam France,5449324,341902
7598157,2022-06-26 21:39:02,2022-06-26 21:39:02,Miracle Workers,5449324,342818
6833340,2018-11-02 02:43:56,2018-11-02 02:43:56,The Boss Baby: Back in Business,5449324,342858
8272949,2021-06-08 22:30:50,2021-06-08 22:30:50,Special,5449324,342976
6564318,2018-04-18 15:34:32,2018-04-18 15:34:32,Lost in Space (2018),5449324,343253
7151262,2019-07-07 17:10:15,2019-07-07 17:10:15,Nailed It!,5449324,343290
6751101,2018-07-17 21:36:40,2018-07-17 21:36:40,Sacred Games,5449324,343435
6578093,2018-04-07 07:45:49,2018-04-07 07:45:49,Derren Brown: The Push,5449324,343656
6603588,2018-10-24 19:09:00,2018-10-24 19:09:00,Skam Germany,5449324,344566
6605072,2019-01-04 01:15:20,2019-01-04 01:15:20,My Brilliant Friend,5449324,344626
8154909,2022-06-02 21:46:53,2022-06-02 21:46:53,Bonding,5449324,344643
6863009,2018-10-25 22:19:17,2018-10-25 22:19:17,Lovleg,5449324,345242
7968847,2021-02-14 10:09:56,2021-02-14 10:09:56,The Haunting,5449324,345246
6809875,2019-03-09 11:40:05,2019-03-09 11:40:05,Vingt-cinq,5449324,345379
6641125,2018-06-20 08:57:14,2018-06-20 08:57:14,,5449324,345479
6644636,2018-04-18 23:17:30,2018-04-18 23:17:30,Vermin,5449324,345948
8477356,2022-01-09 22:15:48,2022-01-09 22:15:48,Pose,5449324,346026
6803229,2018-08-26 20:32:20,2018-08-26 20:32:20,Pêche Aubergine,5449324,346174
7330385,2019-12-22 05:00:24,2019-12-22 05:00:24,Elite,5449324,346328
6655511,2022-06-17 00:41:25,2022-06-17 00:41:25,November 13: Attack on Paris,5449324,346357
6662213,2018-10-20 15:53:32,2018-10-20 15:53:32,SKAM Austin,5449324,346371
7172080,2019-06-14 22:42:42,2019-06-14 22:42:42,Skam Spain,5449324,346465
6833043,2018-10-13 09:10:38,2018-10-13 09:10:38,Sharp Objects,5449324,346602
6664221,2018-05-13 12:29:49,2018-05-13 12:29:49,The Show (2018),5449324,346683
7234902,2019-06-24 20:36:21,2019-06-24 20:36:21,Aggretsuko,5449324,346744
6827550,2019-05-01 22:31:07,2019-05-01 22:31:07,Into the Dark,5449324,347115
6684234,2021-01-20 11:59:54,2021-01-20 11:59:54,Back Street Girls -GOKUDOLLS-,5449324,347160
7398209,2019-10-27 20:39:30,2019-10-27 20:39:30,The House of Flowers,5449324,347325
6687517,2018-12-25 22:18:00,2018-12-25 22:18:00,3Below: Tales of Arcadia,5449324,347512
6688790,2018-07-19 22:55:32,2018-07-19 22:55:32,Marion Seclin,5449324,347544
7142271,2019-07-03 21:26:57,2019-07-03 21:26:57,Jinn,5449324,347710
6718450,2018-06-09 23:06:55,2018-06-09 23:06:55,The Hollow (2018),5449324,347726
6784610,2019-04-10 19:26:14,2019-04-10 19:26:14,Explained,5449324,347903
7372848,2019-10-26 20:59:30,2019-10-26 20:59:30,Insatiable,5449324,348117
7832179,2020-11-07 12:54:08,2020-11-07 12:54:08,PEN15,5449324,348127
6869854,2019-06-22 21:34:30,2019-06-22 21:34:30,Super Drags,5449324,348357
6726601,2018-07-18 01:19:35,2018-07-18 01:19:35,World Cup 2018,5449324,348431
6734165,2022-06-02 01:25:26,2022-06-02 01:25:26,First Love: The Monster Between Us,5449324,348744
6736208,2018-07-01 19:00:31,2018-07-01 19:00:31,Cooking on High,5449324,348774
6800831,2018-09-05 21:31:46,2018-09-05 21:31:46,Paradise PD,5449324,348922
6880370,2018-10-28 14:33:28,2018-10-28 14:33:28,Legacies,5449324,349309
6733508,2018-11-21 13:38:43,2018-11-21 13:38:43,Bodyguard (2018),5449324,349310
6858970,2018-10-31 02:52:17,2018-10-31 02:52:17,Charmed (2018),5449324,349317
6830721,2019-07-17 13:59:49,2019-07-17 13:59:49,Hilda,5449324,349643
6786643,2019-02-25 22:44:34,2019-02-25 22:44:34,The Purge,5449324,349661
8324517,2021-04-18 11:27:24,2021-04-18 11:27:24,Peepoodo,5449324,350191
7154019,2019-08-06 21:14:40,2019-08-06 21:14:40,Cupcake & Dino - General Services,5449324,350225
6773961,2018-07-28 12:24:56,2018-07-28 12:24:56,,5449324,350392
