tv_show_name,user_id,tv_show_id,is_followed,is_favorited,nb_episodes_seen
Chilling Adventures of Sabrina,5449324,338947,1,1,23
On My Block,5449324,339273,1,0,20
Sweetbitter,5449324,339512,1,0,7
Seven Seconds,5449324,339602,0,0,0
Cunk on Britain,5449324,339732,0,0,0
Polyvalente,5449324,339774,0,0,1
Disenchantment,5449324,340234,1,0,22
Ad Vitam,5449324,340790,0,0,0
Nude,5449324,340793,1,0,16
I Love You 2,5449324,340944,1,0,3
Killing Eve,5449324,340959,1,1,30
Fifty Shades of Greeks,5449324,340973,0,0,31
Heathers,5449324,341235,1,1,10
Everything Sucks!,5449324,341282,1,0,10
Safe (2018),5449324,341291,1,0,16
Welcome to the Family (2018),5449324,341423,1,0,13
Queer Eye,5449324,341614,0,0,0
Titans (2018),5449324,341663,0,0,0
The Rain,5449324,341704,1,0,10
Skam France,5449324,341902,1,1,125
Miracle Workers,5449324,342818,1,1,17
The Boss Baby: Back in Business,5449324,342858,1,0,14
The Innocents,5449324,342883,0,0,0
Special,5449324,342976,1,0,10
Lost in Space (2018),5449324,343253,1,0,1
Nailed It!,5449324,343290,1,0,19
,5449324,343397,0,0,0
Sacred Games,5449324,343435,1,0,2
Derren Brown: The Push,5449324,343656,0,0,1
Girls Incarcerated,5449324,343813,0,0,0
Skam Germany,5449324,344566,1,0,1
My Brilliant Friend,5449324,344626,1,0,8
Bonding,5449324,344643,1,1,15
Lovleg,5449324,345242,1,0,8
The Haunting,5449324,345246,1,0,14
Vingt-cinq,5449324,345379,1,0,12
,5449324,345479,0,0,7
Diablero,5449324,345944,0,0,0
Vermin,5449324,345948,1,0,10
Pose,5449324,346026,1,0,23
Pêche Aubergine,5449324,346174,0,0,24
Elite,5449324,346328,1,1,12
November 13: Attack on Paris,5449324,346357,1,0,3
SKAM Austin,5449324,346371,1,0,2
Skam Spain,5449324,346465,1,0,23
Sharp Objects,5449324,346602,1,0,9
The Show (2018),5449324,346683,0,0,3
Aggretsuko,5449324,346744,1,0,14
Evil Genius,5449324,347033,0,0,0
Into the Dark,5449324,347115,1,0,7
Back Street Girls -GOKUDOLLS-,5449324,347160,1,0,1
The House of Flowers,5449324,347325,1,0,16
,5449324,347442,0,0,0
After Life,5449324,347507,0,0,0
3Below: Tales of Arcadia,5449324,347512,1,0,1
Marion Seclin,5449324,347544,0,0,20
Nightflyers,5449324,347648,0,0,0
Are You Sleeping,5449324,347696,1,0,0
Light as a Feather,5449324,347708,1,0,0
Jinn,5449324,347710,1,0,5
The Hollow (2018),5449324,347726,1,0,10
The Protector (2018),5449324,347838,0,0,0
