monthly_score,tv_show_name,user_id,tv_show_id,last_action_timestamp,daily_score,weekly_score
100,The Minimighty Kids,5449324,251740,1526159642,100,100
100,Black Mirror,5449324,253463,1745917544,100,100
100,American Gods,5449324,253573,1553634649,100,100
100,Rita,5449324,256006,1656031024,100,100
100,Hollywood Girls,5449324,257306,1654032831,100,100
100,Shuriken School,5449324,257599,1532443548,100,100
100,Fish 'N' Chips,5449324,260194,1498092799,100,100
100,Orphan Black,5449324,260315,1502633805,100,100
100,The Vault,5449324,261401,1461696266,100,100
100,A Kind of Magic,5449324,261618,1498092611,100,100
100,Bates Motel,5449324,262414,1493143413,100,100
100,Michel,5449324,262538,1573433072,100,100
100,Under the Dome,5449324,264492,1484310884,100,100
100,Orange Is the New Black,5449324,264586,1564289749,100,100
100,Code Lyoko: Evolution,5449324,265109,1656663439,100,100
100,My Mad Fat Diary,5449324,265110,1472641589,100,100
100,EastSiders,5449324,265359,1577707443,100,100
100,Penny Dreadful,5449324,265766,1480881913,100,100
100,Attack on Titan,5449324,267440,1617024858,100,100
100,The Fosters (2013),5449324,267907,1546574951,100,100
100,Sense8,5449324,268156,1528555931,100,100
100,The Jungle Bunch,5449324,268773,1469120151,100,100
100,Reign (2013),5449324,269602,1552585948,100,100
100,Hostages (US),5449324,269642,1473277709,100,100
100,Andy Raconte,5449324,273242,1497919889,100,100
35,Connasse,5449324,273354,1496521113,35,35
100,Pokémon: Origins,5449324,273616,1472134562,100,100
100,Studio Bagel,5449324,274237,1523525387,100,100
70,Gotham,5449324,274431,1728905916,70,70
100,Salem,5449324,274897,1494284890,100,100
100,Side Effects (2013),5449324,275010,1466455233,100,100
100,Rick and Morty,5449324,275274,1574803536,100,100
35,From Dusk Till Dawn: The Series,5449324,276312,1459967865,35,35
100,Faking It (2014),5449324,277169,1506722973,100,100
100,The Wakos,5449324,277455,1652449832,100,100
100,Rosie (2011),5449324,279215,1469667482,100,100
100,Squeezie,5449324,279758,1500323906,100,100
100,iZombie,5449324,281470,1476077399,100,100
100,Forever (2014),5449324,281535,1469235831,100,100
100,Unbreakable Kimmy Schmidt,5449324,281593,1589764195,100,100
100,Jane the Virgin,5449324,281621,1578614388,100,100
100,The Last Man on Earth,5449324,281622,1529409261,100,100
100,BoJack Horseman,5449324,282254,1519080633,100,100
100,Grace and Frankie,5449324,282562,1518303094,100,100
100,Narcos,5449324,282670,1497268560,100,100
35,The Returned (US),5449324,283317,1452992041,35,35
100,Assassination Classroom,5449324,283947,1475935950,100,100
100,Marvel's Jessica Jones,5449324,284190,1563573577,100,100
35,Lovesick,5449324,286126,1471888157,35,35
35,Carmilla,5449324,286357,1510266280,35,35
100,Making A Scene With James Franco,5449324,286891,1531484644,100,100
35,All Hail King Julien,5449324,288926,1459179765,35,35
100,American Crime Story,5449324,289108,1521985124,100,100
100,Mr. Robot,5449324,289590,1578337545,100,100
100,The Adventures of Puss in Boots,5449324,290174,1496008536,100,100
35,Paris (2015),5449324,290268,1454962878,35,35
35,Cucumber,5449324,290623,1540073227,35,35
100,Between,5449324,293194,1468361570,100,100
100,Scream Queens,5449324,293302,1493809956,100,100
100,Scream: The TV Series,5449324,294417,1564382419,100,100
35,Trollz,5449324,294729,1640080697,35,35
70,Lucifer,5449324,295685,1561989580,70,70
35,Hjørdis,5449324,295727,1454513344,35,35
100,Crazy Ex-Girlfriend,5449324,295777,1509839880,100,100
100,Shadowhunters,5449324,295837,1523192649,100,100
100,Glitch (2015),5449324,296550,1519078811,100,100
100,Westworld,5449324,296762,1531049974,100,100
100,Stupid Questions,5449324,296967,1498771035,100,100
70,Master of None,5449324,298901,1498970287,70,70
35,The Magicians (2015),5449324,299139,1611403717,35,35
100,Project Mc²,5449324,299260,1510931899,100,100
35,You'll Die Less Stupid,5449324,299856,1567078787,35,35
100,Call My Agent!,5449324,300247,1604372663,100,100
100,Elise's Secret,5449324,300699,1456191902,100,100
100,Chewing Gum,5449324,301562,1492384438,100,100
35,Le Woop,5449324,302102,1498770580,35,35
35,Miraculous: Tales of Ladybug & Cat Noir,5449324,302218,1616699239,35,35
100,Skam,5449324,303786,1545589011,100,100
35,Marvel's Luke Cage,5449324,304219,1509405033,35,35
100,Wanted (2016),5449324,304591,1512751780,100,100
100,My Hero Academia,5449324,305074,1619899744,100,100
100,Slasher,5449324,305194,1562015742,100,100
100,Stranger Things,5449324,305288,1563731120,100,100
100,Love,5449324,305378,1523307604,100,100
70,The Crown,5449324,305574,1552410889,70,70
100,Big Little Lies,5449324,305719,1564018664,100,100
