created_at,updated_at,tv_show_name,user_id,tv_show_id
2024-01-21 16:18:31,2024-01-21 16:18:31,,5449324,322358
2024-01-21 16:17:41,2024-01-21 16:17:41,Siphano: The Legend of Zelda,5449324,327237
2020-08-24 21:20:24,2020-08-24 21:20:24,Spirit Riding Free,5449324,327985
2024-01-21 16:20:27,2024-01-21 16:20:27,,5449324,328213
2020-10-27 22:36:47,2020-10-27 22:36:47,Young Sheldon,5449324,328724
2025-12-06 13:14:34,2025-12-06 13:14:34,Hitorijime My Hero,5449324,329313
2025-12-06 13:14:08,2025-12-06 13:14:08,My First Girlfriend is a Gal,5449324,329422
2020-10-26 11:21:25,2020-10-26 11:21:25,Alexa & Katie,5449324,330132
2025-12-06 13:14:10,2025-12-06 13:14:10,Violet Evergarden,5449324,330139
2025-12-06 13:16:24,2025-12-06 13:16:24,Laid-Back Camp,5449324,330692
2020-12-03 21:26:41,2020-12-03 21:26:41,Marvel's Runaways,5449324,332027
2020-10-27 22:33:59,2020-10-27 22:33:59,Altered Carbon,5449324,332331
2025-12-06 13:15:06,2025-12-06 13:15:06,UQ Holder!,5449324,332984
2022-05-12 17:02:19,2022-05-12 17:02:19,Raising Dion,5449324,335985
2019-02-26 00:25:47,2019-02-26 00:25:47,Beyond Stranger Things,5449324,337634
2019-05-08 13:32:20,2019-05-08 13:32:20,Devilman Crybaby,5449324,338192
2024-01-21 16:20:29,2024-01-21 16:20:29,Mcfly & Carlito,5449324,338282
2021-02-02 12:09:54,2021-02-02 12:09:54,Derry Girls,5449324,338903
2024-01-21 16:20:08,2024-01-21 16:20:08,Don't Forget the Lyrics! (FR),5449324,339682
2024-01-21 16:18:00,2024-01-21 16:18:00,The Thousand and One Prowess of Pepin Troispommes,5449324,340467
2020-08-24 21:19:54,2020-08-24 21:19:54,A.I.C.O. -Incarnation-,5449324,340890
2020-04-20 00:03:32,2020-04-20 00:03:32,Queer Eye,5449324,341614
2025-12-06 13:16:40,2025-12-06 13:16:40,Real Girl,5449324,342010
2020-08-24 21:18:37,2020-08-24 21:18:37,Rilakkuma and Kaoru,5449324,347929
2019-07-09 21:18:20,2019-07-09 21:18:20,Demon Slayer: Kimetsu no Yaiba,5449324,348545
2020-08-24 21:22:41,2020-08-24 21:22:41,Baki (2018),5449324,348742
2019-06-22 21:04:26,2019-06-22 21:04:26,All About The Washingtons,5449324,349077
2018-10-26 22:34:13,2018-10-26 22:34:13,,5449324,349078
2022-12-25 20:46:04,2022-12-25 20:46:04,Manifest,5449324,349271
2019-05-08 13:37:43,2019-05-08 13:37:43,The Dragon Prince,5449324,350123
2020-04-20 00:03:55,2020-04-20 00:03:55,Amazing Interiors,5449324,350265
2019-05-08 13:32:34,2019-05-08 13:32:34,She-Ra and the Princesses of Power,5449324,350399
2019-05-08 13:37:27,2019-05-08 13:37:27,Switched,5449324,350628
2019-05-08 13:38:18,2019-05-08 13:38:18,Patriot Act with Hasan Minhaj,5449324,351269
